"sample","view","target","metric","cut_type","cut_value","n_scored","n_official","coverage","estimate","lower","upper"
"strict","first_valid","over_2_5","over_2_5_brier","confidence","medium",39,104,0.375,0.250928110051527,0.247481678479747,0.254523993237513
"strict","first_valid","over_2_5","over_2_5_brier","outcome_class","away",27,104,0.259615384615385,0.252803195565334,0.243232532117795,0.262269974206184
"strict","first_valid","over_2_5","over_2_5_brier","outcome_class","draw",16,104,0.153846153846154,0.25178234645569,0.239480442217859,0.265633406712545
"strict","first_valid","over_2_5","over_2_5_brier","outcome_class","home",40,104,0.384615384615385,0.240266377737571,0.231851745091703,0.247922733526807
"strict","first_valid","over_2_5","over_2_5_brier","overall","all",83,104,0.798076923076923,0.246564565458529,0.240733640622977,0.252027116642991
"strict","first_valid","over_2_5","over_2_5_brier","stage","group",52,52,1,0.24823696901513,0.240677898313861,0.255818271322431
"strict","first_valid","over_2_5","over_2_5_brier","stage","knockout",31,31,1,0.243759243363585,0.23491607752983,0.252221433322506
"strict","first_valid","over_2_5","over_2_5_log_loss","confidence","high",18,104,0.173076923076923,0.669355470808264,0.624986745599998,0.71634833109492
"strict","first_valid","over_2_5","over_2_5_log_loss","confidence","low",26,104,0.25,0.68474587577193,0.66943426130999,0.700377997287099
"strict","first_valid","over_2_5","over_2_5_log_loss","confidence","medium",39,104,0.375,0.695004184888867,0.687790082146224,0.702473247488667
"strict","first_valid","over_2_5","over_2_5_log_loss","outcome_class","away",27,104,0.259615384615385,0.69873886682469,0.679541590981282,0.717851313859372
"strict","first_valid","over_2_5","over_2_5_log_loss","outcome_class","draw",16,104,0.153846153846154,0.696778733517562,0.673461411992902,0.724195825100302
"strict","first_valid","over_2_5","over_2_5_log_loss","outcome_class","home",40,104,0.384615384615385,0.673563632868428,0.656487627873309,0.68990727661025
"strict","first_valid","over_2_5","over_2_5_log_loss","overall","all",83,104,0.798076923076923,0.686228366931142,0.67464834475461,0.697929901838258
"strict","first_valid","over_2_5","over_2_5_log_loss","stage","group",52,52,1,0.6895956973181,0.674719989296614,0.704874093694559
"strict","first_valid","over_2_5","over_2_5_log_loss","stage","knockout",31,31,1,0.680579941765922,0.662700487671013,0.698139714709882
"strict","first_valid","regulation_1x2","accuracy","confidence","high",18,104,0.173076923076923,0.888888888888889,0.722222222222222,1
"strict","first_valid","regulation_1x2","accuracy","confidence","low",26,104,0.25,0.423076923076923,0.230769230769231,0.615384615384615
"strict","first_valid","regulation_1x2","accuracy","confidence","medium",39,104,0.375,0.743589743589744,0.615384615384615,0.871794871794872
"strict","first_valid","regulation_1x2","accuracy","outcome_class","away",27,104,0.259615384615385,0.925925925925926,0.814814814814815,1
"strict","first_valid","regulation_1x2","accuracy","outcome_class","draw",16,104,0.153846153846154,0,0,0
"strict","first_valid","regulation_1x2","accuracy","outcome_class","home",40,104,0.384615384615385,0.775,0.65,0.9
"strict","first_valid","regulation_1x2","accuracy","overall","all",83,104,0.798076923076923,0.674698795180723,0.566265060240964,0.771084337349398
"strict","first_valid","regulation_1x2","accuracy","stage","group",52,52,1,0.615384615384615,0.480769230769231,0.75
"strict","first_valid","regulation_1x2","accuracy","stage","knockout",31,31,1,0.774193548387097,0.612903225806452,0.903225806451613
"strict","first_valid","regulation_1x2","brier","confidence","high",18,104,0.173076923076923,0.291498998902504,0.17896047480785,0.448353328571578
